Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
MSC/VLR-2G+3G,MSS01PAN,507 62090007,,,"Huawei
MSOFTX3000
V200R008C03SPH23",6,-05:00
SCP,IN01PAN,507 62090038,,,"TECNOMEN Version:
PP4.10.3 / CGW
4.10.3",,-05:00
SMSC,SMSCGT,507 62090000,,,"SMSC Next
Generation
Trinode SMSC 5.1
LogicaCMG",,-05:00
SMSC,SMSCGTMT,507 62090028,,,"SMSC Next
Generation
Trinode SMSC 5.1
LogicaCMG",,-05:00
SGSN-2G+3G,PAN-USN-01,507 62090036,181.179.1.0/27,,Huawei,"USN9810
V900R011C01",+00:00
SGSN-2G+3G,DAV-USN-01,507 62090037,181.179.1.0/27,,Huawei,"USN9810
V900R011C01",+00:00
HLR,HLR01PAN,507 62090034,,,Huawei,V900R006C06S,P-0C53:0000
HLR,HLR01PAN,507 62090035,,,Huawei,V900R006C06S,P-0C53:0000
MSC/VLR-2G+3G,MSS02PAN,507 62090004,,,Huawei,,-05:00
SGW,,,181.179.1.0/27,,HUAWEI,,+00:00
SMSC,SMSCGT,507 62090092,,,"SMSC Next
Generation
Trinode SMSC 5.1
LogicaCMG",,-05:00
PGW,PA_PAN1_CGW01,,201.131.148.128/28,,Huawei,V100R019C10S,P-0C52:0000
PGW,PAN-UGW-01,,201.131.149.32/28,,Huawei,V900R017C10S,P-0C51:0000
PGW,PGWU-01-CCN-PA,,201.131.149.2/32,,Affirmed Networks,9.3.0.2-67.REL,+00:00
PGW,PGWU-01-CCN-PA,,201.131.149.3/32,,Affirmed Networks,9.3.0.2-67.REL,+00:00
MSC/VLR-2G+3G,,507 62090051,,,,,+00:00
MSC/VLR-2G+3G,,507 62090052,,,,,+00:00
