"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,54,382,6443000,6449999,,,,
,54,382,6473000,6473999,,,,
,54,382,6477000,6477999,,,,
,54,382,6669000,6669999,,,,
,54,382,6674000,6676999,,,,
,54,382,7400000,7408999,,,,
,54,382,7430000,7439999,,,,
,54,382,7450000,7451999,,,,
,54,382,7453000,7454999,,,,
,54,382,7458000,7459999,,,,
,54,382,7654000,7655999,,,,
,54,382,7668000,7668999,,,,
,54,383,2407000,2409999,,,,
,54,383,2415000,2417999,,,,
,54,383,2430000,2434999,,,,
,54,383,2461000,2461999,,,,
,54,383,2465000,2465999,,,,
,54,383,2469000,2469999,,,,
,54,383,2688000,2689999,,,,
,54,383,4070000,4074999,,,,
,54,383,4213000,4214999,,,,
,54,383,4260000,4299999,,,,
,54,383,4320000,4354999,,,,
,54,383,4360000,4374999,,,,
,54,383,4400000,4409999,,,,
,54,383,4460000,4460999,,,,
,54,383,4487000,4487999,,,,
,54,383,4510000,4519999,,,,
,54,383,4540000,4549999,,,,
,54,383,4575000,4579999,,,,
,54,383,4620000,4629999,,,,
,54,383,4650000,4659999,,,,
,54,383,4665000,4669999,,,,
,54,383,4680000,4699999,,,,
,54,383,4755000,4779999,,,,
,54,383,4900000,4999999,,,,
,54,383,5400000,5401999,,,,
,54,383,5404000,5406999,,,,
,54,383,5430000,5439999,,,,
,54,383,5481000,5481999,,,,
,54,383,5505000,5506999,,,,
,54,383,5510000,5519999,,,,
,54,383,5690000,5699999,,,,
,54,383,7405000,7407999,,,,
,54,383,7430000,7439999,,,,
