"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,880,17,00000000,99999999,,,,
,880,130,,,,,,
,880,131,,,,,,
,880,13200,,,,,,
,880,13201,,,,,,
,880,13202,,,,,,
,880,13203,,,,,,
,880,13204,,,,,,
,880,13205,,,,,,
,880,13206,,,,,,
,880,13207,,,,,,
,880,13208,,,,,,
,880,13209,,,,,,
,880,13210,,,,,,
,880,13211,,,,,,
No,"n-b
880","ind
13212",ing d,raft,doc,um,e,nt
,880,13213,,,,,,
,880,13214,,,,,,
,880,13215,,,,,,
,880,13216,,,,,,
,880,13217,,,,,,
,880,13218,,,,,,
,880,13219,,,,,,
,880,1322,,,,,,
,880,13230,,,,,,
,880,13231,,,,,,
,880,13232,,,,,,
,880,13233,,,,,,
,880,13234,,,,,,
,880,13235,,,,,,
,880,13236,,,,,,
,880,13237,,,,,,
,880,13238,,,,,,
,880,13239,,,,,,
,880,13240,,,,,,
,880,13241,,,,,,
,880,13242,,,,,,
,880,13243,,,,,,
,880,13244,,,,,,
,880,13245,,,,,,
,880,13246,,,,,,
